AVERAGE PRECISION = 0.8033898305084746 
lat, long, sf, bw, lsnr, RSSI, len, tmst_dif, TESTE, PREDICT, PROB, DECISION 
[38.723804, -9.161392, 12, 125, -12.2, -119.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.2, -109.0, 28, 4985] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.5, -116.0, 28, 59062] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.0, -118.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.5, -116.0, 28, 5086] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -118.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.0, -115.0, 28, 57980] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -12.0, -117.0, 28, 8029] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -113.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.8, -117.0, 28, 4985] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.8, -114.0, 28, 124069] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.5, -118.0, 28, 5005] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -11.2, -117.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -14.0, -115.0, 28, 8949] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -10.8, -118.0, 28, 4004] 		, 0 , 0 , [1. 0.]	 , NORMAL
[38.723804, -9.161392, 12, 125, -13.2, -115.0, 28, 3984] 		, 0 , 0 , [1. 0.]	 , NORMAL
